,date,state,co2emission,treated,after_treatment,time_weights,unit_weights,weights
7650,2021-12-08,Guangzhou 1,2.383158987046376,0,0,0.0038650930758298047,0.03379232735512805,0.0001306105
7651,2021-12-09,Guangzhou 1,2.391842298171598,0,0,0.0023448620143177406,0.03379232735512805,7.92383e-05
7652,2021-12-10,Guangzhou 1,2.3868164723119247,0,0,0.003876550802767323,0.03379232735512805,0.0001309977
7653,2021-12-11,Guangzhou 1,2.400279411085374,0,0,0.0020043209143050687,0.03379232735512805,6.77307e-05
7654,2021-12-12,Guangzhou 1,2.3842075944102574,0,0,0.002149570314460165,0.03379232735512805,7.2639e-05
7655,2021-12-13,Guangzhou 1,2.3901168668913675,0,0,0.005656182662089415,0.03379232735512805,0.0001911356
7656,2021-12-14,Guangzhou 1,2.387856032222971,0,0,0.0040001173873259995,0.03379232735512805,0.0001351733
7657,2021-12-15,Guangzhou 1,2.4077979663149924,0,0,0.004211394979425342,0.03379232735512805,0.0001423128
7658,2021-12-16,Guangzhou 1,2.4193010508346324,0,0,0.0048224166983000145,0.03379232735512805,0.0001629607
7659,2021-12-17,Guangzhou 1,2.4135698651043738,0,0,0.0014739597082063472,0.03379232735512805,4.98085e-05
7660,2021-12-18,Guangzhou 1,2.414412954841583,0,0,0.0015136165897042164,0.03379232735512805,5.11486e-05
7661,2021-12-19,Guangzhou 1,2.3983915521594588,0,0,0.00481961305894175,0.03379232735512805,0.0001628659
7662,2021-12-20,Guangzhou 1,2.3977054659125594,0,0,0.0032787178213498826,0.03379232735512805,0.0001107955
7663,2021-12-21,Guangzhou 1,2.3995959093614028,0,0,0.0038011001918972576,0.03379232735512805,0.000128448
7664,2021-12-22,Guangzhou 1,2.4371441564639773,0,0,0.0036664807073393062,0.03379232735512805,0.0001238989
7665,2021-12-23,Guangzhou 1,2.4514190418967816,0,0,0.0024793360660147544,0.03379232735512805,8.37825e-05
7666,2021-12-24,Guangzhou 1,2.4499505169168754,0,0,0.0026519669445717767,0.03379232735512805,8.96161e-05
7667,2021-12-25,Guangzhou 1,2.4515819422178615,0,0,0.0025685673466472954,0.03379232735512805,8.67979e-05
7668,2021-12-26,Guangzhou 1,2.4667797014651107,0,0,0.003896806567854982,0.03379232735512805,0.0001316822
7669,2021-12-27,Guangzhou 1,2.4690220029063585,0,0,0.0007810210811940616,0.03379232735512805,2.63925e-05
7670,2021-12-28,Guangzhou 1,2.489778000452698,0,0,0.0021906043433588857,0.03379232735512805,7.40256e-05
7671,2021-12-29,Guangzhou 1,2.488520590746951,0,0,0.0014169753178945664,0.03379232735512805,4.78829e-05
7672,2021-12-30,Guangzhou 1,2.4720623345429056,0,0,0.004158554252630174,0.03379232735512805,0.0001405272
7673,2021-12-31,Guangzhou 1,2.4823807408066276,0,0,0.0031070221269136225,0.03379232735512805,0.0001049935
7674,2022-01-01,Guangzhou 1,2.195860111309108,0,0,0.013317625188862117,0.03379232735512805,0.0004500335
7675,2022-01-02,Guangzhou 1,2.1854770386048927,0,0,0.015622535166389463,0.03379232735512805,0.0005279218
7676,2022-01-03,Guangzhou 1,2.193917616762112,0,0,0.013101725247612583,0.03379232735512805,0.0004427378
7677,2022-01-04,Guangzhou 1,2.211552228781267,0,0,0.013312565832546752,0.03379232735512805,0.0004498626
7678,2022-01-05,Guangzhou 1,2.220094509754585,0,0,0.013819620408876557,0.03379232735512805,0.0004669971
7679,2022-01-06,Guangzhou 1,2.228095933730794,0,0,0.008970834327022382,0.03379232735512805,0.0003031454
