,city,type,syn_coef,att,att_in,att_pos,year_dff,resi_all_abs,resi_in_abs,resi_after_abs,extreme,duration,num_positive,season,gdp,gdp-2,gdp-3,pop,gdp_pop,pop_density,location geographic,location economic,num_scale,cement_prod,steel_prod,metal_value,paper_value,fuel_value,chemi_value,energy_consump,electri_consump_indus,area,ubr,ifcity,housing_area,power_resi_all_abs,power_resi_in_abs,power_resi_after_abs,power_extreme
46,Shanghai 1,3,-0.0575,-0.888,-0.546,-1.582,-2.034782568,0.839,0.865,0.605,0.816,103,339,1.5,44652.8,11458.4,33097.4,2475.0,18.04153535,3900.0,4,4,8776,429.99,1819.7,329.83,241.66,1367.16,23.02,11696.46,851.5,0.634615385,89.3,1,,0.849,0.837,0.808,0.726
47,Shaanxi,2,0.0271,0.401,0.169,0.886,-1.961203456,0.834,0.853,0.408,0.836,43,245,1.0,25642.59,13840.85,10461.34,3481.35,7.3675,232.0,3,1,4793,4982.4,5594.24,865.02,33.1,2055.7,0.35,20858.8,1694.5,15.00581897,64.02,0,,0.993,0.99,0.993,0.992
48,Shenzhen,4,0.0297,0.415,0.224,0.807,-1.535902008,0.907,0.937,0.571,0.885,60,1302,1.0,32387.7,12405.9,19956.2,1766.2,18.33750425,8610.5,4,4,10337,0.0,0.0,328.09,152.4,46.3,1.82,4534.14,1656.95,0.205121654,99.72,1,,0.844,0.928,0.679,0.768
49,Shenzhen 1,2,0.041,0.485,0.304,0.861,-0.367113947,0.721,0.833,0.452,0.527,83,1400,3.5,32387.7,12405.9,19956.2,1766.2,18.33750425,8610.5,4,4,10337,0.0,0.0,328.09,152.4,46.3,1.82,4534.14,1656.95,0.205121654,99.72,1,,0.551,0.666,0.141,0.335
50,Shijiazhuang,2,0.0165,0.293,-0.009,0.912,-2.331636581,0.766,0.966,0.41,0.54,36,100000,4.0,7100.6,2334.1,4208.2,1103.1,6.436950412,696.1,2,4,2097,1776.2,1779.78,124.8,304.2,4395.98,310.2,4333.3,276.3,1.584686108,71.44,1,,0.777,0.629,0.546,0.681
51,Shijiazhuang 1,1,-0.0154,0.244,0.628,-0.497,-0.124874521,0.888,0.888,0.867,0.903,50,868,1.0,7100.6,2334.1,4208.2,1103.1,6.436950412,696.1,2,4,2097,1776.2,1779.78,124.8,304.2,4395.98,310.2,4333.3,276.3,1.584686108,71.44,1,,0.871,0.955,0.557,0.691
52,Sichuan,2,-0.0344,-0.445,-0.172,-0.994,-0.969369666,0.858,0.854,0.623,0.872,58,540,1.0,56749.8,21157.1,29628.4,8374.0,6.7769,174.0,4,1,14599,14172.1,3308.2,873.37,582.33,967.78,301.37,20790.6,1635.8,48.12643678,58.35,0,,0.925,0.936,0.878,0.588
53,Suzhou,2,-0.0044,-0.293,-0.848,0.813,-1.859091816,0.865,0.861,0.828,0.768,105,866,1.5,23958.3,11521.4,12244.0,1291.1,18.55650221,1242.0,4,4,11042,1459.4,4781.3,749.7,690.13,100.9,1005.11,8017.25,1271.5,1.039533011,82.12,1,,0.656,0.732,0.509,0.571
54,Taiyuan,2,0.0117,0.212,0.123,0.368,-0.027372913,0.768,0.803,0.548,0.221,14,250,2.0,5121.61,2113.09,2963.72,539.1,9.5646,780.0,2,3,622,744.79,1234.09,23.65,1.43,166.45,0.0,6476.9,186.46,0.691153846,89.34,1,,0.843,0.972,0.556,0.181
55,Tianjin,2,-2.83e-07,-0.017,-0.017,-0.017,-4.490083846,0.984,0.926,0.976,0.989,13,430,1.0,16311.3,6038.9,9999.3,1363.0,11.9672047,1178.0,2,4,4813,687.74,5454.95,687.78,231.5,565.0,4.04,8240.7,628.9,1.15704584,85.1,1,,0.999,0.995,0.998,0.999
56,Tianjin 1,4,0.1391,2.45,1.985,3.436,-0.696476099,0.679,0.719,0.175,0.643,49,831,1.5,16311.3,6038.9,9999.3,1363.0,11.9672047,1178.0,2,4,4813,687.74,5454.95,687.78,231.5,565.0,4.04,8240.7,628.9,1.15704584,85.1,1,,0.712,0.727,0.358,0.607
57,Tianjin 2,2,0.0072,0.112,-0.012,0.33,-3.030110782,0.946,0.987,0.792,0.646,14,206,2.0,16311.3,6038.9,9999.3,1363.0,11.9672047,1178.0,2,4,4813,687.74,5454.95,687.78,231.5,565.0,4.04,8240.7,628.9,1.15704584,85.1,1,,0.872,0.953,0.637,0.791
58,Tianjin 3,2,0.031,0.724,0.089,1.953,-5.962069033,0.842,0.958,0.529,0.674,54,136,1.0,16311.3,6038.9,9999.3,1363.0,11.9672047,1178.0,2,4,4813,687.74,5454.95,687.78,231.5,565.0,4.04,8240.7,628.9,1.15704584,85.1,1,,0.942,0.97,0.658,0.899
59,Wuhan,1,-0.0242,-0.368,-1.824,2.59,-5.471775635,0.78,0.637,0.548,0.822,81,45346,1.5,18866.43,6716.65,11673.99,1373.9,13.6812,1619.0,4,3,2689,1014.2,1709.11,33.88,128.13,19.73,3.02,5355.0,283.0,0.848610253,84.66,1,,0.757,0.772,0.445,0.688
60,Wuhan 1,2,-0.0177,0.369,0.834,-0.596,4.897054983,0.833,0.809,0.856,0.851,24,307,2.0,18866.43,6716.65,11673.99,1373.9,13.6812,1619.0,4,3,2689,1014.2,1709.11,33.88,128.13,19.73,3.02,5355.0,283.0,0.848610253,84.66,1,,0.942,0.962,0.882,0.921
61,Wulumuqi,1,-0.0202,-0.073,-0.259,0.309,0.344870595,0.65,0.566,0.592,0.5,48,748,3.0,3893.22,1133.43,2728.81,408.2,9.5511,295.0,1,1,344,245.03,21.61,72.88,5.46,341.1,0.58,1948.51,280.0,1.383728814,96.5,1,,0.748,0.658,0.526,0.698
62,Xian,2,3.02e-07,-0.034,-0.033,-0.034,0.39321359,0.813,0.637,0.87,0.9,13,387,1.0,11486.5,4071.6,7091.4,1235.0,9.300809717,1223.2,1,1,1631,199.8,31.47,118.26,18.64,3.5,25.69,3090.66,169.4,1.009646828,79.59,1,,0.962,0.91,0.975,0.981
63,Xining,2,0.0023,-0.061,-0.069,-0.047,-0.208003314,0.861,0.707,0.839,0.888,22,172,2.0,1372.98,239.15,897.09,199.11,3.02,322.0,1,1,224,483.74,189.1,516.22,1.04,1.2,0.0,982.9,,0.618354037,79.87,1,,0.776,0.997,0.364,0.186
64,Xinjiang,2,-0.0464,-0.753,-0.216,-1.794,-1.681249679,0.658,0.85,0.428,0.513,31,5460,3.0,17741.3,7271.1,7961.0,2559.0,6.932903478,15.7,1,1,3182,3890.96,1368.02,1107.62,19.9,1485.94,113.35,13722.78,2580.4,162.9936306,57.89,0,,0.629,0.536,0.574,0.67
65,Zhejiang,4,0.027,0.633,0.588,0.761,-3.894192397,0.909,0.85,0.867,0.839,61,1217,1.0,77715.0,33205.0,42185.0,6577.0,11.8496,636.0,4,4,45695,13399.94,3823.44,2386.9,1480.6,1973.7,2926.1,22392.77,3243.5,10.34119497,73.4,0,,0.804,0.829,0.388,0.73
66,Zhejiang 1,3,-0.006,-2.832,-2.597,-3.272,2.422486013,0.636,0.424,0.486,0.564,26,490,4.0,77715.0,33205.0,42185.0,6577.0,11.8496,636.0,4,4,45695,13399.94,3823.44,2386.9,1480.6,1973.7,2926.1,22392.77,3243.5,10.34119497,73.4,0,,0.788,0.901,0.344,0.397
