date,state,gdp,gdp_1st,gdp_2nd,gdp_3rd,avg_gdp,pop
2007,宁夏回族自治区,919.11,97.89,451.82,339.49,14649,610
2007,新疆维吾尔自治区,3523.16,628.72,1647.55,1246.89,16999,2095
2008,北京市,11115,112.81,2693.15,7682.07,63029,1695
2008,天津市,6719.01,122.58,3821.07,2410.73,55473,1176
2008,河北省,16011.97,2034.6,8777.42,5376.59,23239,6988.82
2008,山西省,7315.4,302.48,4265.77,2370.48,20398,3410.61
2008,内蒙古自治区,8496.2,906.98,4271.03,2583.79,32214,2413.73
2008,辽宁省,13668.58,1302,7512.11,4647.46,31259,4314.7
2008,吉林省,6426.1,916.7,3064.63,2442.73,23514,2734
2008,黑龙江省,8314.37,1089.1,4365.9,2855,21727,3825.39
2008,上海市,14069.86,111.8,6235.92,7350.43,73124,1888.46
2008,江苏省,30981.98,2100,16663.81,11548.8,39622,7677.3
2008,浙江省,21462.69,1095.43,11580.33,8811.17,42214,5120
2008,安徽省,8851.66,1418.08,4137.35,3318.74,14485,6135
2008,福建省,10823.01,1157.75,5415.77,4249.59,30123,3604
2008,江西省,6971.05,1060.38,3414.88,2005.07,14781,4400
2008,山东省,30933.28,3002.65,17702.17,10367.23,33083,9417.23
2008,河南省,18018.53,2658.8,10477.92,5271.06,19593,9429
2008,湖北省,11328.89,1780,4963.61,4586.77,19860,5711
2008,湖南省,11555,2007.4,4933.08,4216.16,17521,6380
2008,广东省,36796.71,1970.23,18402.64,15323.59,37589,9544
2008,广西壮族自治区,7021,1453.9,3037.74,2679.94,14966,4816
2008,海南省,1503.06,437.61,434.4,587.22,17175,854
2008,重庆市,5793.66,575.4,2433.27,2087.99,18025,2839
2008,四川省,12601.23,2366.15,5790.1,4350,15378,8138
2008,贵州省,3561.56,547.85,1408.71,1376.84,8824,3792.73
2008,云南省,5692.12,1020.94,2451.09,2228.07,12587,4543
2008,陕西省,7314.58,753.72,3842.08,2255.52,18246,3762
2008,甘肃省,3166.82,463,1471.43,1241.68,12110,2628.12
2008,青海省,1018.62,105.58,529.4,326.55,17389,554.3
2008,宁夏回族自治区,1203.92,120,581.24,397.27,17892,617.69
2008,新疆维吾尔自治区,4183.21,691.1,2086.74,1425.57,19893,2130.8
2009,北京市,12153.03,118.29,2855.55,9179.19,70452,1755
2009,天津市,7521.85,128.85,3987.84,3405.16,62574,1228.16
2009,河北省,17235.48,2207.34,8959.83,6068.31,24581,7034.4
2009,山西省,7358.31,477.59,3993.8,2886.92,21522,3427.36
2009,内蒙古自治区,9740.25,929.6,5114,3696.65,40282,2422.07
2009,辽宁省,15212.49,1414.9,7906.34,5891.25,35239,4319
2009,吉林省,7278.75,980.57,3541.92,2756.26,26595,2739.55
2009,黑龙江省,8587,1154.33,4060.72,3371.95,22447,3826
2009,上海市,15046.45,113.82,6001.78,8930.85,78989,1921
2009,江苏省,34457.3,2261.86,18566.37,13629.07,44744,7725
2009,浙江省,22990.35,1163.08,11908.49,9918.78,44641,5180
2009,安徽省,10062.82,1495.45,4905.22,3662.15,16408,6131
2009,福建省,12236.53,1182.74,6005.3,5048.49,33840,3627
2009,江西省,7655.18,1098.66,3919.45,2637.07,17335,4432.1581
2009,山东省,33896.65,3226.64,18901.83,11768.18,35894,9470.3
2009,河南省,19480.46,2769.05,11010.5,5700.91,20597,9487
2009,湖北省,12961.1,1795.9,6038.08,5127.12,22677,5720
2009,湖南省,13059.69,1969.69,5687.19,5402.81,20428,6406
2009,广东省,39482.56,2010.27,19419.7,18052.59,41166,9638
2009,广西壮族自治区,7759.16,1458.49,3381.54,2919.13,16045,4856
2009,海南省,1654.21,462.19,443.43,748.59,19254,864.07
2009,重庆市,6530.01,606.8,3448.77,2474.44,22920,2859
2009,四川省,14151.28,2240.61,6711.87,5198.8,17339,8185
2009,贵州省,3912.68,550.27,1476.62,1885.79,10309,3798
2009,云南省,6169.75,1067.6,2582.53,2519.62,13539,4571
2009,陕西省,8169.8,789.64,4236.42,3143.74,21688,3772
2009,甘肃省,3387.56,497.05,1527.24,1363.27,12872,2635.46
2009,青海省,1081.27,107.4,575.33,398.54,19454,557.3
2009,宁夏回族自治区,1353.31,127.25,662.32,563.74,21777,625.2
2009,新疆维吾尔自治区,4277.05,759.74,1929.59,1587.72,19942,2158.63
2010,北京市,14113.58,124.36,3388.38,10600.84,73856,1961.9
2010,天津市,9224.46,145.58,4840.23,4238.65,72994,1299.29
2010,河北省,20394.26,2562.81,10707.68,7123.77,28668,7193.6
2010,山西省,9200.86,554.48,5234,3412.38,26283,3574.1145
2010,内蒙古自治区,11672,1095.28,6367.69,4209.02,47347,2472.1786
2010,辽宁省,18457.27,1631.08,9976.82,6849.37,42355,4374.9
2010,吉林省,8667.58,1050.15,4506.31,3111.12,31599,2746.6021
2010,黑龙江省,10368.6,1302.9,5204.11,3861.59,27076,3833.4024
2010,上海市,17165.98,114.15,7218.32,9833.51,76074,2302.6608
2010,江苏省,41425.48,2540.1,21753.93,17131.45,52840,7869.34
2010,浙江省,27722.31,1360.56,14297.93,12063.82,51711,5446.51
2010,安徽省,12359.33,1729.02,6436.62,4193.68,20888,5956.7096
2010,福建省,14737.12,1363.67,7522.83,5850.62,40025,3693
2010,江西省,9451.26,1206.98,5122.88,3121.4,21253,4462.2489
2010,山东省,39169.92,3588.28,21238.49,14343.14,41106,9587.8641
2010,河南省,23092.36,3258.09,13226.38,6607.89,24446,9405.4697
2010,湖北省,15967.61,2147,7767.24,6053.37,27906,5727.9143
2010,湖南省,16037.96,2325.5,7343.19,6369.27,24719,6570.1
2010,广东省,46013.06,2286.98,23014.53,20711.55,44736,10440.9641
2010,广西壮族自治区,9569.85,1675.06,4511.68,3383.11,20219,4610
2010,海南省,2064.5,539.83,571,953.67,23831,868.5512
2010,重庆市,7925.58,685.38,4359.12,2881.08,27596,2884.62
2010,四川省,17185.48,2482.89,8672.18,6030.41,21182,8044.92
2010,贵州省,4602.16,625.03,1800.06,2177.07,13119,3478.9408
2010,云南省,7224.18,1108.38,3223.49,2892.31,15752,4601.6
2010,陕西省,10123.48,988.45,5446.1,3688.93,27133,3735.2267
2010,甘肃省,4120.75,599.28,1984.97,1536.5,16113,2559.98
2010,青海省,1350.43,134.92,744.63,470.88,24115,563
2010,宁夏回族自治区,1689.65,159.29,827.91,702.45,26860,632.96
2010,新疆维吾尔自治区,5437.47,1078.63,2592.15,1766.69,25034,2185.11
2011,北京市,16251.93,136.27,3752.48,12363.18,81658,2018.6
2011,天津市,11307.28,159.72,5928.32,5219.24,85213,1355
2011,河北省,24515.76,2905.73,13126.86,8483.17,33969,7240.51
2011,山西省,11237.55,641.42,6635.26,3960.87,31357,3593
2011,内蒙古自治区,14359.88,1306.3,8037.69,5015.89,57974,2481.71
2011,辽宁省,22226.7,1915.57,12152.15,8158.98,50760,4383
2011,吉林省,10568.83,1277.44,5611.48,3679.91,38460,2749.41
2011,黑龙江省,12582,1701.5,6330.53,4549.97,32819,3834
2011,上海市,19195.69,124.94,7927.89,11142.86,82560,2347.46
2011,江苏省,49110.27,3064.77,25203.28,20842.21,62290,7898.8
2011,浙江省,32318.85,1583.04,16555.58,14180.23,59249,5463
2011,安徽省,15300.65,2015.31,8309.38,4975.95,25659,5968
2011,福建省,17560.18,1612.24,9069.2,6878.74,47377,3720
2011,江西省,11702.82,1391.07,6390.55,3921.2,26150,4488.4367
2011,山东省,45361.85,3973.85,24017.11,17370.89,47335,9637
2011,河南省,26931.03,3512.24,15427.08,7991.72,28661,9388
2011,湖北省,19632.26,2569.3,9815.94,7247.02,34197,5757.5
2011,湖南省,19669.56,2768.03,9361.99,7539.54,29880,6595.6
2011,广东省,53210.28,2665.2,26447.38,24097.7,50807,10504.8488
