date,state,total,avg,intensity,coal_co2,coke_co2,gasoline_co2,kerosene_co2,diesel_co2,fuel_co2,gas_co2
2005,内蒙古自治区,31179.32,12.9752,7.984,26489.0279,2331.3005,563.5112,1.2149,1177.8,80.3405,137.4712
2005,辽宁省,49813.984,11.8015,6.19,24867.6611,4878.3959,1046.0438,80.1821,1656.5331,602.0145,320.6217
2005,吉林省,18427.643,6.7848,5.09,12943.0787,964.9052,488.9172,48.1396,752.0425,168.4487,133.7908
2005,黑龙江省,25149.453,6.5836,4.561,16286.5983,406.8456,914.3109,22.1108,1466.3604,126.4712,528.8851
2005,上海市,23128.306,12.2372,2.501,10130.9642,1805.7176,709.7412,678.2675,1021.6941,2428.4445,405.2693
2005,江苏省,47340.372,6.2388,2.545,31924.5851,4562.5364,1230.4347,65.4517,1596.769,817.1013,294.8594
2005,浙江省,29982.72,6.0074,2.235,18419.6582,468.5054,1079.3138,124.4645,2489.4804,962.754,48.7103
2005,安徽省,19693.454,3.2179,3.681,15867.833,1541.8951,253.069,31.9513,651.175,75.7115,18.4017
2005,福建省,13451.65,3.7817,2.052,9241.6613,804.5554,585.1835,99.529,1143.7022,512.4162,11.041
2005,江西省,11730.639,2.7211,2.892,8072.9658,1296.9458,188.8719,21.6856,936.3566,98.5391,2.3814
2005,山东省,70074.78,7.5773,3.815,48039.1984,5706.5212,1451.2587,66.788,3509.9345,933.4903,387.3006
2005,河南省,42521.633,4.5332,4.016,35138.8543,2847.7762,686.8973,42.2475,1021.2911,248.7574,513.2978
2005,湖北省,23951.237,4.1946,3.634,16463.3781,1963.1175,1076.0922,79.2102,1399.5287,351.5133,132.2754
2005,湖南省,22660.181,3.5821,3.435,16628.2471,2166.7695,796.255,37.9043,874.2986,136.6168,21.649
2005,广东省,38711.841,4.2106,1.716,18917.3474,859.6282,2068.3065,466.8784,4050.3847,5072.9585,53.906
2005,广西壮族自治区,10261.545,2.202,2.576,7104.6628,1265.7006,428.996,21.2604,1016.7034,104.4997,24.2469
2005,海南省,1598.842,1.931,1.781,649.9623,4.6109,115.6251,189.825,133.5704,16.6134,453.9795
2005,重庆市,9068.654,3.2411,2.615,6345.885,1111.1932,227.0621,37.3576,558.522,11.4455,768.5395
2005,四川省,21609.477,2.6315,2.926,14825.7052,2561.8731,657.3174,284.1604,890.9755,25.6176,1938.0185
2005,贵州省,18222.234,4.8853,9.087,16461.0949,956.1417,197.7458,25.5429,430.9962,32.9415,117.7706
2005,云南省,17688.943,3.975,5.11,12712.9471,3503.5807,360.0837,87.198,880.0332,12.3967,132.4919
2005,陕西省,17646.677,4.7823,4.486,11509.6606,719.1253,576.0753,105.7249,558.8319,14.0453,406.1352
2005,甘肃省,12953.157,5.0896,6.698,7136.3998,1215.4678,254.504,14.0015,356.415,50.8231,208.2634
2005,青海省,2344.101,4.3169,4.314,1329.9302,119.8256,51.2523,,77.03,0.0634,478.6594
2005,宁夏回族自治区,7310.221,12.2655,11.933,6181.7391,199.6711,72.8953,6.1048,195.4114,5.7069,143.5329
2005,新疆维吾尔自治区,15402.079,7.6627,5.914,7344.2508,524.867,312.5802,79.3317,938.4335,54.9131,1222.3025
2006,北京市,12327.388,7.7972,1.519,5814.0233,998.4128,814.6472,710.2796,550.1835,152.3425,880.0319
2006,天津市,13293.075,12.3657,2.979,7247.9741,1549.6563,374.405,49.6886,765.7436,339.624,242.9018
2006,河北省,61942.581,8.9798,5.402,40613.9306,15638.4691,772.5325,17.8587,1501.5121,172.2533,60.8337
2006,山西省,62219.48,18.4354,12.754,53943.8663,6922.4472,332.1439,31.678,826.9956,32.0221,130.327
2006,内蒙古自治区,36618.267,15.2767,7.406,30802.582,2887.7563,620.1522,16.7653,1527.1475,31.6099,311.3126
2006,辽宁省,53546.913,12.5373,5.755,27039.8595,5613.0435,1152.5313,105.9679,1821.9384,731.5295,283.6019
2006,吉林省,20086.88,7.3767,4.699,14363.1588,1051.71,565.2684,20.4404,941.5643,127.1053,129.894
2006,黑龙江省,26565.226,6.9488,4.277,17171.9436,603.4237,1011.3387,31.1313,1481.1774,140.58,531.05
2006,上海市,23039.481,12.6939,2.179,9785.7573,1877.1719,787.0296,795.6553,1149.9638,2554.7572,546.6373
2006,江苏省,51815.725,6.863,2.383,35062.3467,5282.4349,1316.4799,55.9149,1820.1096,637.4607,677.6137
2006,浙江省,33830.376,6.7932,2.152,21566.02,910.0329,1185.5378,141.1387,2611.3645,763.932,257.4066
2006,安徽省,21189.638,3.468,3.467,16801.8304,1867.8929,286.4269,32.1943,743.642,68.5462,42.2156
2006,福建省,14719.621,4.137,1.941,10265.2187,857.9958,609.316,112.346,1178.296,550.0183,12.3399
2006,江西省,12799.931,2.95,2.655,8737.6931,1510.0199,193.2649,24.1457,972.0663,84.0183,14.7213
2006,山东省,78711.097,8.4554,3.594,55180.6784,4908.8105,1583.1966,72.5283,3784.7628,964.1808,489.0509
2006,河南省,48219.488,5.1341,3.9,39962.0656,3414.4275,731.2671,48.6863,1072.5618,223.1081,660.944
2006,湖北省,26514.086,4.6573,3.481,18364.1754,2154.0251,1234.4178,105.1175,1539.4227,399.4513,143.7494
2006,湖南省,24173.136,3.8116,3.144,17958.653,2357.3334,770.951,63.2649,1060.3796,133.2878,92.0083
2006,广东省,43109.337,4.6334,1.621,21169.4021,1176.4328,2259.1699,478.0553,4239.2865,4989.4793,313.0445
2006,广西壮族自治区,11265.167,2.3872,2.374,7939.7007,1292.3635,537.8558,,1035.0542,76.3139,26.4118
2006,海南省,2428.628,2.9051,2.324,632.134,53.4117,97.35,200.2122,195.0084,35.7632,518.9265
