state,Pop,GDP,GDP-1,GDP-2,GDP-3
Hunan,6822,31551.37,3578.37,13341.17,14631.83
Hunan,6860.15,33902.96,2998.4,14145.49,16759.07
Hunan,6899,36425.78,3083.59,14453.54,18888.65
Hunan,6918,39752.12,3646.95,14946.98,21158.19
Jilin,2682,1821.19,398.73,800.28,622.18
Jilin,2691,2120.35,409.1,880.84,742.54
Jilin,2699,2348.54,446.17,978.37,821.58
Jilin,2703.7,2662.08,486.9,1143.39,892.33
Jilin,2709,3122.01,560.96,1379.31,1017.94
Jilin,2716,3620.27,625.61,1580.83,1413.83
Jilin,2723,4275.12,672.76,1915.29,1687.07
Jilin,2730,5284.69,783.8,2475.45,2025.44
Jilin,2734,6426.1,916.7,3064.63,2442.73
Jilin,2739.55,7278.75,980.57,3541.92,2756.26
Jilin,2746.6021,8667.58,1050.15,4506.31,3111.12
Jilin,2749.41,10568.83,1277.44,5611.48,3679.91
Jilin,2750.4,11939.24,1412.11,6376.77,4150.36
Jilin,2751.28,13046.4,1509.34,6858.23,4613.89
Jilin,2752.38,13803.14,1524.01,7286.59,4992.54
Jilin,2753.32,14063.13,1596.28,7005.71,5461.14
Jilin,2733,14776.8,1498.52,7004.95,6273.33
Jilin,2717,14944.53,1095.36,6998.51,6850.66
Jilin,2704,15074.62,1160.75,6410.85,7503.02
Jilin,2691,11726.82,1287.32,4134.82,6304.68
Jiangsu,7327,8582.7276,1031.17,4435.889,3115.6686
Jiangsu,7355,9456.84,1082.43,4907.46,3522.02
Jiangsu,7381,10606.85,1119.12,5550.98,3961.65
Jiangsu,7405.82,12442.87,1106.35,6787.11,4567.37
Jiangsu,7433,15003.6,1315.38,8716.1069,5371.6777
Jiangsu,7588,18598.69,1461.49,10355.03,6489.14
Jiangsu,7550,21742.05,1545.01,12250.84,7849.23
Jiangsu,7625,26018.48,1816.24,14306.4,9618.52
Jiangsu,7677.3,30981.98,2100,16663.81,11548.8
Jiangsu,7725,34457.3,2261.86,18566.37,13629.07
Jiangsu,7869.34,41425.48,2540.1,21753.93,17131.45
Jiangsu,7898.8,49110.27,3064.77,25203.28,20842.21
Jiangsu,7919.98,54058.22,3418.29,27121.95,23517.98
Jiangsu,7939.49,59753.37,3646.08,29094.03,26421.64
Jiangsu,7960.06,65088.32,3634.33,30854.5,30599.49
Jiangsu,7976.3,70116.38,3986.05,32044.45,34085.88
Jiangsu,7999,77388.28,4077.18,34619.5,38691.6
Jiangsu,8029.3,85869.76,4045.16,38654.87,43169.73
Jiangsu,8051,92595.4,4141.72,41248.52,47205.16
Jiangsu,8070,99631.52,4296.28,44270.51,51064.73
Jiangxi,4149,2003.07,485.14,700.76,817.17
Jiangxi,4186,2175.68,506,788.12,881.56
Jiangxi,4222,2450.48,535.98,951.77,962.73
Jiangxi,4254.23,2807.41,560,1227.38,1043.08
Jiangxi,4284,3456.7,711.7,1595.74,1188.5
Jiangxi,4311,4056.76,727.37,1917.47,1411.92
Jiangxi,4339,4820.53,786.14,2320.74,1563.65
Jiangxi,4368,5800.25,905.77,2840.92,1753.56
Jiangxi,4400,6971.05,1060.38,3414.88,2005.07
Jiangxi,4432.1581,7655.18,1098.66,3919.45,2637.07
Jiangxi,4462.2489,9451.26,1206.98,5122.88,3121.4
Jiangxi,4488.4367,11702.82,1391.07,6390.55,3921.2
Jiangxi,4503.9321,12948.88,1520.23,6942.59,4486.06
Jiangxi,4522.15,14410.19,1636.49,7671.38,5030.63
Jiangxi,4542.16,15714.63,1683.72,8247.93,5782.98
Jiangxi,4565.63,16723.78,1772.98,8411.57,6539.23
Jiangxi,4592,18499,1904.53,8829.54,7764.93
Jiangxi,4622,20006.31,1835.26,9627.98,8543.07
Jiangxi,4648,21984.78,1877.33,10250.21,9857.24
Jiangxi,4666,24757.5,2057.56,10939.83,11760.11
Liaoning,4184,4669.06,503.44,2344.4,1821.22
Liaoning,4194,5033.08,544.44,2440.55,2048.09
