state,GDP,GDP-1,GDP-2,GDP-3,Pop
Hunan,31551.37,3578.37,13341.17,14631.83,6822
Hunan,33902.96,2998.4,14145.49,16759.07,6860.15
Hunan,36425.78,3083.59,14453.54,18888.65,6899
Hunan,39752.12,3646.95,14946.98,21158.19,6918
Jilin,1821.19,398.73,800.28,622.18,2682
Jilin,2120.35,409.1,880.84,742.54,2691
Jilin,2348.54,446.17,978.37,821.58,2699
Jilin,2662.08,486.9,1143.39,892.33,2703.7
Jilin,3122.01,560.96,1379.31,1017.94,2709
Jilin,3620.27,625.61,1580.83,1413.83,2716
Jilin,4275.12,672.76,1915.29,1687.07,2723
Jilin,5284.69,783.8,2475.45,2025.44,2730
Jilin,6426.1,916.7,3064.63,2442.73,2734
Jilin,7278.75,980.57,3541.92,2756.26,2739.55
Jilin,8667.58,1050.15,4506.31,3111.12,2746.6021
Jilin,10568.83,1277.44,5611.48,3679.91,2749.41
Jilin,11939.24,1412.11,6376.77,4150.36,2750.4
Jilin,13046.4,1509.34,6858.23,4613.89,2751.28
Jilin,13803.14,1524.01,7286.59,4992.54,2752.38
Jilin,14063.13,1596.28,7005.71,5461.14,2753.32
Jilin,14776.8,1498.52,7004.95,6273.33,2733
Jilin,14944.53,1095.36,6998.51,6850.66,2717
Jilin,15074.62,1160.75,6410.85,7503.02,2704
Jilin,11726.82,1287.32,4134.82,6304.68,2691
Jiangsu,8582.7276,1031.17,4435.889,3115.6686,7327
Jiangsu,9456.84,1082.43,4907.46,3522.02,7355
Jiangsu,10606.85,1119.12,5550.98,3961.65,7381
Jiangsu,12442.87,1106.35,6787.11,4567.37,7405.82
Jiangsu,15003.6,1315.38,8716.1069,5371.6777,7433
Jiangsu,18598.69,1461.49,10355.03,6489.14,7588
Jiangsu,21742.05,1545.01,12250.84,7849.23,7550
Jiangsu,26018.48,1816.24,14306.4,9618.52,7625
Jiangsu,30981.98,2100,16663.81,11548.8,7677.3
Jiangsu,34457.3,2261.86,18566.37,13629.07,7725
Jiangsu,41425.48,2540.1,21753.93,17131.45,7869.34
Jiangsu,49110.27,3064.77,25203.28,20842.21,7898.8
Jiangsu,54058.22,3418.29,27121.95,23517.98,7919.98
Jiangsu,59753.37,3646.08,29094.03,26421.64,7939.49
Jiangsu,65088.32,3634.33,30854.5,30599.49,7960.06
Jiangsu,70116.38,3986.05,32044.45,34085.88,7976.3
Jiangsu,77388.28,4077.18,34619.5,38691.6,7999
Jiangsu,85869.76,4045.16,38654.87,43169.73,8029.3
Jiangsu,92595.4,4141.72,41248.52,47205.16,8051
Jiangsu,99631.52,4296.28,44270.51,51064.73,8070
Jiangxi,2003.07,485.14,700.76,817.17,4149
Jiangxi,2175.68,506,788.12,881.56,4186
Jiangxi,2450.48,535.98,951.77,962.73,4222
Jiangxi,2807.41,560,1227.38,1043.08,4254.23
Jiangxi,3456.7,711.7,1595.74,1188.5,4284
Jiangxi,4056.76,727.37,1917.47,1411.92,4311
Jiangxi,4820.53,786.14,2320.74,1563.65,4339
Jiangxi,5800.25,905.77,2840.92,1753.56,4368
Jiangxi,6971.05,1060.38,3414.88,2005.07,4400
Jiangxi,7655.18,1098.66,3919.45,2637.07,4432.1581
Jiangxi,9451.26,1206.98,5122.88,3121.4,4462.2489
Jiangxi,11702.82,1391.07,6390.55,3921.2,4488.4367
Jiangxi,12948.88,1520.23,6942.59,4486.06,4503.9321
Jiangxi,14410.19,1636.49,7671.38,5030.63,4522.15
Jiangxi,15714.63,1683.72,8247.93,5782.98,4542.16
Jiangxi,16723.78,1772.98,8411.57,6539.23,4565.63
Jiangxi,18499,1904.53,8829.54,7764.93,4592
Jiangxi,20006.31,1835.26,9627.98,8543.07,4622
Jiangxi,21984.78,1877.33,10250.21,9857.24,4648
Jiangxi,24757.5,2057.56,10939.83,11760.11,4666
Liaoning,4669.06,503.44,2344.4,1821.22,4184
Liaoning,5033.08,544.44,2440.55,2048.09,4194
Liaoning,5458.22,590.2,2609.85,2258.17,4203
Liaoning,6002.54,615.8,2898.89,2487.85,4210
Liaoning,6672,769.8962,3278.8848,2823.8711,4217
Liaoning,8047.26,882.41,3953.28,3173.32,4221
Liaoning,9304.52,976.37,4729.5,3545.28,4271
Liaoning,11164.3,1133.4,5853.1,4036.99,4298
Liaoning,13668.58,1302,7512.11,4647.46,4314.7
Liaoning,15212.49,1414.9,7906.34,5891.25,4319
Liaoning,18457.27,1631.08,9976.82,6849.37,4374.9
Liaoning,22226.7,1915.57,12152.15,8158.98,4383
Liaoning,24846.43,2155.82,13230.49,9460.12,4389
Liaoning,27213.22,2321.63,14269.46,10486.56,4390
Liaoning,28626.58,2285.75,14384.64,11956.19,4391
Liaoning,28669.016,2384.03,13041.97,13243.016,4382.4
Liaoning,22246.9,2173.06,8606.54,11467.3,4378
Liaoning,23409.24,1902.28,9199.8,12307.16,4369
Liaoning,25315.35,2033.3,10025.1,13256.95,4359
Liaoning,24909.45,2177.77,9531.24,13200.44,4352
Inner Mongolia,1401.01,350.8,556.28,493.93,2372
Inner Mongolia,1713.81,358.89,626.47,560.43,2377
Inner Mongolia,1940.94,374.69,728.34,631.28,2379
Inner Mongolia,2388.38,420.0993,973.9356,756.38,2379.61
Inner Mongolia,3041.07,506.07,1332.4728,873.5345,2384
Inner Mongolia,3905.03,589.56,1773.21,1532.78,2403
Inner Mongolia,4944.25,649.62,2327.44,1814.42,2397
Inner Mongolia,6423.18,762.1,3154.56,2174.46,2405
Inner Mongolia,8496.2,906.98,4271.03,2583.79,2413.73
Inner Mongolia,9740.25,929.6,5114,3696.65,2422.07
Inner Mongolia,11672,1095.28,6367.69,4209.02,2472.1786
Inner Mongolia,14359.88,1306.3,8037.69,5015.89,2481.71
Inner Mongolia,15880.5788,1448.58,8801.5,5630.5,2489.85
Inner Mongolia,16916.5029,1599.41,9084.19,6148.78,2497.61
Inner Mongolia,17770.1888,1627.852,9119.79,7022.5468,2504.81
Inner Mongolia,17831.5088,1617.4219,9000.577,7213.5099,2511.04
Inner Mongolia,18128.1,1637.39,8553.63,7937.08,2520
Inner Mongolia,16096.21,1649.77,6399.68,8046.76,2529
Inner Mongolia,17289.22,1753.82,6807.3,8728.1,2534
Inner Mongolia,17212.53,1863.19,6818.88,8530.46,2540
Ningxia,265.57,45.95,120.04,99.58,554
Ningxia,337.4447,49.57,134.37,114.44,563
Ningxia,377.1552,52.84,151.16,125.28,572
Ningxia,445.36,55.5,192,137.84,580.3
Ningxia,537.16,65.13,239.42,155.8,588
Ningxia,612.61,72.08,281.23,252.79,596
Ningxia,725.9,79.54,349.83,281.39,604
Ningxia,919.11,97.89,451.82,339.49,610
Ningxia,1203.92,120,581.24,397.27,617.69
Ningxia,1353.31,127.25,662.32,563.74,625.2
Ningxia,1689.65,159.29,827.91,702.45,632.96
Ningxia,2102.21,184.14,1056.15,861.92,639.45
Ningxia,2341.29,199.4,1159.37,982.52,647.19
Ningxia,2577.57,222.98,1264.96,1077.12,654.19
Ningxia,2752.1,216.99,1341.24,1193.87,661.54
Ningxia,2911.77,237.76,1379.6,1294.41,667.88
Ningxia,3168.59,241.6,1488.44,1438.55,675
Ningxia,3443.56,250.62,1580.57,1612.37,682
Ningxia,3705.18,279.85,1650.26,1775.07,688
Ningxia,3748.48,279.93,1584.72,1883.83,695
Qinghai,263.59,38.53,114,111.06,517
Qinghai,300.13,42.79,132.18,125.98,523
Qinghai,340.65,44.9,154.01,142.2,529
Qinghai,390.2,46.15,184.26,159.8,533.8
Qinghai,466.1,57.81,227.06,180.86,539
Qinghai,543.32,65.34,264.61,213.37,543
Qinghai,648.5,69.64,331.16,240.78,548
Qinghai,797.35,83.41,417.78,282.42,552
Qinghai,1018.62,105.58,529.4,326.55,554.3
Qinghai,1081.27,107.4,575.33,398.54,557.3
Qinghai,1350.43,134.92,744.63,470.88,563
Qinghai,1670.44,155.08,975.18,540.18,568.17
Qinghai,1893.54,176.91,1092.34,624.29,573.17
Qinghai,2122.06,207.59,1204.31,689.15,577.79
Qinghai,2303.32,215.93,1234.31,853.08,583.42
Qinghai,2417.05,208.93,1207.31,1000.81,588.43
Qinghai,2572.49,221.19,1249.98,1101.32,593
Qinghai,2624.83,238.41,1162.41,1224.01,598
Qinghai,2865.23,268.1,1247.06,1350.07,603
Qinghai,2965.95,301.9,1159.75,1504.3,608
Shandong,8542.44,1268.57,4244.4,3029.47,8998
Shandong,9195.036,1359.49,4654.51,3424.31,9041
Shandong,10275.4957,1390,5309.54,3852.52,9082
Shandong,12078.15,1480.67,6656.85,4298.41,9125
Shandong,15021.84,1778.3,8724.52,4987.91,9180
Shandong,18366.87,1963.51,10628.62,5924.74,9248
Shandong,21900.19,2138.9,12751.2,7187.26,9309
Shandong,25776.91,2509.14,14776.53,8680.24,9367
Shandong,30933.28,3002.65,17702.17,10367.23,9417.23
Shandong,33896.65,3226.64,18901.83,11768.18,9470.3
Shandong,39169.92,3588.28,21238.49,14343.14,9587.8641
Shandong,45361.85,3973.85,24017.11,17370.89,9637
Shandong,50013.2449,4281.7,25735.73,19995.81,9684.97
Shandong,55230.3249,4742.63,27422.47,22519.23,9733.39
Shandong,59426.5902,4798.36,28788.1074,25840.1228,9789.43
Shandong,63002.3325,4979.0794,29485.9021,28537.3509,9847.16
Shandong,68024.49,4929.13,31343.67,31751.69,9947
Shandong,72634.1491,4832.7119,32942.8429,34858.6,10005.83
Shandong,76469.67,4950.52,33641.72,37877.43,10047
Shandong,71067.53,5116.44,28310.92,37640.17,10070
Shanxi,1643.81,179.86,827.59,636.36,3248
Shanxi,2029.53,171.09,917.98,690.9,3272
Shanxi,2324.8,197.8,1083.79,735.95,3294
Shanxi,2855.23,215.19,1389.33,852.07,3314.29
Shanxi,3571.37,253.37,1810.08,978.96,3335
Shanxi,4230.53,262.42,2353.16,1563.94,3355
Shanxi,4878.61,276.77,2748.33,1727.44,3375
Shanxi,6024.45,269.68,3438.58,2025.09,3393
Shanxi,7315.4,302.48,4265.77,2370.48,3410.61
Shanxi,7358.31,477.59,3993.8,2886.92,3427.36
Shanxi,9200.86,554.48,5234,3412.38,3574.1145
Shanxi,11237.55,641.42,6635.26,3960.87,3593
Shanxi,12112.83,698.32,6731.56,4682.95,3610.83
Shanxi,12665.25,773.81,6792.68,5035.75,3629.8
Shanxi,12761.49,788.89,6293.91,5678.69,3647.96
Shanxi,12766.49,783.16,5194.27,6789.06,3664.12
Shanxi,13050.41,784.78,5028.99,7236.64,3682
Shanxi,15528.42,719.16,6778.89,8030.37,3702
Shanxi,16818.11,740.64,7089.19,8988.28,3718
Shanxi,17026.68,824.72,7453.09,8748.87,3729
Shaanxi,1660.92,279.12,731.9,649.9,3644
Shaanxi,2010.62,287.24,816.34,740.69,3659
Shaanxi,2253.39,303.79,925.78,806.39,3674
Shaanxi,2587.72,320.03,1133.56,944.99,3689.5
Shaanxi,3175.58,394.98,1416.82,1071.71,3705
Shaanxi,3933.72,435.77,1849.28,1390.61,3690
Shaanxi,4743.61,488.48,2440.5,1594.76,3735
Shaanxi,5757.29,592.63,2964.56,1908.6,3748
Shaanxi,7314.58,753.72,3842.08,2255.52,3762
Shaanxi,8169.8,789.64,4236.42,3143.74,3772
Shaanxi,10123.48,988.45,5446.1,3688.93,3735.2267
Shaanxi,12512.3,1220.9,6935.59,4355.81,3742.6
Shaanxi,14453.68,1370.16,8073.87,5009.65,3753.09
Shaanxi,16205.45,1526.05,8911.64,5607.52,3764
Shaanxi,17689.94,1564.94,9577.24,6547.76,3775.12
Shaanxi,18021.8609,1597.63,9082.13,7342.1009,3793
Shaanxi,19399.59,1693.85,9490.72,8215.02,3813
Shaanxi,21898.81,1741.45,10882.88,9274.48,3835
