state,electri_consump,GDP,GDP-1,GDP-2,GDP-3,Pop
Jilin,780.37,11726.82,1287.32,4134.82,6304.68,2691
Jiangsu,971.34,8582.7276,1031.17,4435.889,3115.6686,7327
Jiangsu,1078.44,9456.84,1082.43,4907.46,3522.02,7355
Jiangsu,1244.6,10606.85,1119.12,5550.98,3961.65,7381
Jiangsu,1505.13,12442.87,1106.35,6787.11,4567.37,7405.82
Jiangsu,1820.08,15003.6,1315.38,8716.1069,5371.6777,7433
Jiangsu,2193.45,18598.69,1461.49,10355.03,6489.14,7588
Jiangsu,2569.75,21742.05,1545.01,12250.84,7849.23,7550
Jiangsu,2952.02,26018.48,1816.24,14306.4,9618.52,7625
Jiangsu,3118.33,30981.98,2100,16663.81,11548.8,7677.3
Jiangsu,3313.98,34457.3,2261.86,18566.37,13629.07,7725
Jiangsu,3864.37,41425.48,2540.1,21753.93,17131.45,7869.34
Jiangsu,4282,49110.27,3064.77,25203.28,20842.21,7898.8
Jiangsu,4580.91,54058.22,3418.29,27121.95,23517.98,7919.98
Jiangsu,4956.62,59753.37,3646.08,29094.03,26421.64,7939.49
Jiangsu,5012.54,65088.32,3634.33,30854.5,30599.49,7960.06
Jiangsu,5115,70116.38,3986.05,32044.45,34085.88,7976.3
Jiangsu,5458.95,77388.28,4077.18,34619.5,38691.6,7999
Jiangsu,5807.89,85869.76,4045.16,38654.87,43169.73,8029.3
Jiangsu,6128.27,92595.4,4141.72,41248.52,47205.16,8051
Jiangsu,6264.36,99631.52,4296.28,44270.51,51064.73,8070
Jiangxi,208.15,2003.07,485.14,700.76,817.17,4149
Jiangxi,222.29,2175.68,506,788.12,881.56,4186
Jiangxi,246.56,2450.48,535.98,951.77,962.73,4222
Jiangxi,299.53,2807.41,560,1227.38,1043.08,4254.23
Jiangxi,389.2,3456.7,711.7,1595.74,1188.5,4284
Jiangxi,391.98,4056.76,727.37,1917.47,1411.92,4311
Jiangxi,453.28,4820.53,786.14,2320.74,1563.65,4339
Jiangxi,516.09,5800.25,905.77,2840.92,1753.56,4368
Jiangxi,546.77,6971.05,1060.38,3414.88,2005.07,4400
Jiangxi,609.22,7655.18,1098.66,3919.45,2637.07,4432.1581
Jiangxi,700.51,9451.26,1206.98,5122.88,3121.4,4462.2489
Jiangxi,835,11702.82,1391.07,6390.55,3921.2,4488.4367
Jiangxi,867.67,12948.88,1520.23,6942.59,4486.06,4503.9321
Jiangxi,947.11,14410.19,1636.49,7671.38,5030.63,4522.15
Jiangxi,1018.52,15714.63,1683.72,8247.93,5782.98,4542.16
